n,k,time,test
10^7,2,0.359375,0
10^7,2,0.390625,1
10^7,2,0.34375,2
10^7,2,0.328125,3
10^7,2,0.40625,4
10^7,2,0.359375,5
10^7,2,0.390625,6
10^7,2,0.359375,7
10^7,2,0.375,8
10^7,2,0.375,9
10^7,4,0.359375,0
10^7,4,0.359375,1
10^7,4,0.375,2
10^7,4,0.375,3
10^7,4,0.375,4
10^7,4,0.359375,5
10^7,4,0.359375,6
10^7,4,0.375,7
10^7,4,0.375,8
10^7,4,0.34375,9
10^7,8,0.390625,0
10^7,8,0.375,1
10^7,8,0.359375,2
10^7,8,0.390625,3
10^7,8,0.375,4
10^7,8,0.34375,5
10^7,8,0.359375,6
10^7,8,0.359375,7
10^7,8,0.375,8
10^7,8,0.359375,9
10^7,16,0.359375,0
10^7,16,0.328125,1
10^7,16,0.328125,2
10^7,16,0.375,3
10^7,16,0.34375,4
10^7,16,0.390625,5
10^7,16,0.375,6
10^7,16,0.375,7
10^7,16,0.375,8
10^7,16,0.375,9
10^7,32,0.375,0
10^7,32,0.375,1
10^7,32,0.359375,2
10^7,32,0.375,3
10^7,32,0.359375,4
10^7,32,0.40625,5
10^7,32,0.375,6
10^7,32,0.328125,7
10^7,32,0.375,8
10^7,32,0.375,9
10^7,64,0.390625,0
10^7,64,0.40625,1
10^7,64,0.375,2
10^7,64,0.375,3
10^7,64,0.375,4
10^7,64,0.375,5
10^7,64,0.421875,6
10^7,64,0.375,7
10^7,64,0.34375,8
10^7,64,0.359375,9
10^7,128,0.359375,0
10^7,128,0.375,1
10^7,128,0.359375,2
10^7,128,0.421875,3
10^7,128,0.40625,4
10^7,128,0.375,5
10^7,128,0.375,6
10^7,128,0.453125,7
10^7,128,0.390625,8
10^7,128,0.390625,9
10^7,256,0.4375,0
10^7,256,0.40625,1
10^7,256,0.40625,2
10^7,256,0.46875,3
10^7,256,0.4375,4
10^7,256,0.375,5
10^7,256,0.375,6
10^7,256,0.40625,7
10^7,256,0.40625,8
10^7,256,0.40625,9
10^8,2,3.34375,0
10^8,2,3.375,1
10^8,2,3.375,2
10^8,2,3.40625,3
10^8,2,3.34375,4
10^8,2,3.40625,5
10^8,2,3.3125,6
10^8,2,3.35938,7
10^8,2,3.54688,8
10^8,2,3.34375,9
10^8,4,3.57812,0
10^8,4,3.54688,1
10^8,4,3.59375,2
10^8,4,3.57812,3
10^8,4,3.59375,4
10^8,4,3.625,5
10^8,4,3.5625,6
10^8,4,3.59375,7
10^8,4,3.70312,8
10^8,4,3.53125,9
10^8,8,3.64062,0
10^8,8,3.5625,1
10^8,8,3.59375,2
10^8,8,3.57812,3
10^8,8,3.59375,4
10^8,8,3.60938,5
10^8,8,3.57812,6
10^8,8,3.76562,7
10^8,8,3.54688,8
10^8,8,3.57812,9
10^8,16,3.60938,0
10^8,16,3.57812,1
10^8,16,3.64062,2
10^8,16,3.59375,3
10^8,16,3.625,4
10^8,16,3.60938,5
10^8,16,3.65625,6
10^8,16,3.60938,7
10^8,16,3.57812,8
10^8,16,3.59375,9
10^8,32,3.5625,0
10^8,32,3.57812,1
10^8,32,3.59375,2
10^8,32,3.59375,3
10^8,32,3.54688,4
10^8,32,3.64062,5
10^8,32,3.98438,6
10^8,32,3.59375,7
10^8,32,3.57812,8
10^8,32,3.57812,9
10^8,64,3.59375,0
10^8,64,3.53125,1
10^8,64,3.59375,2
10^8,64,3.625,3
10^8,64,3.60938,4
10^8,64,3.67188,5
10^8,64,3.73438,6
10^8,64,3.6875,7
10^8,64,3.625,8
10^8,64,3.57812,9
10^8,128,3.625,0
10^8,128,3.60938,1
10^8,128,3.64062,2
10^8,128,3.625,3
10^8,128,3.54688,4
10^8,128,3.76562,5
10^8,128,3.60938,6
10^8,128,3.65625,7
10^8,128,3.59375,8
10^8,128,3.54688,9
